input,output
There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,arguing
"All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | are doing so not so much to escape being branded as ""evil",arguing
"He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | the principle that all countries should be treated on an equal footing",arguing
"China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | do not agree to",agreement
"China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | always holds that anti-terrorism campaigns should be based on irrefutable evidence",arguing
"Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | the use of such words as the ""axis of evil",sentiment
"China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should not be expanded arbitrarily",arguing
"China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | pointing out that the consequences are bound to be serious if the logic of the wording is followed",arguing
"China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should be based on irrefutable evidence",arguing
"Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | disapproves of",sentiment
"""We disapprove of the use of such words in international relations, ""said Kong, who also made the same comment when answering related questions earlier. | disapprove of",sentiment
"He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing",arguing
This is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions. | is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions,arguing
"Kong made the remark when asked to comment on the different views given by the New York Times and the Washington Post recentlyon a statement by the U.S. leader describing the Democratic People's Republic of Korea, Iran and Iraq as the ""axis of evil ""nations. | describing the Democratic People's Republic of Korea, Iran and Iraq as the ""axis of evil ""nations",sentiment
China Disapproves Use of'Axis of Evil'in International Relations | Disapproves,sentiment
"China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil",arguing
China Disapproves Use of'Axis of Evil'in International Relations | Use of'Axis of Evil ',sentiment
"Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | agrees with",agreement
"It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well. | feel the same way about",sentiment
He has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world. | has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world,arguing
"It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well. | wants",sentiment
Many believed that Bush was naive about foreign affairs. | believed that Bush was naive about foreign affairs,arguing sentiment
"Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an ""evil ""it likely will readjust its stance. | tried to become more helpful to the United States during the war in Afghanistan",arguing
"Although the US role is identified as participation in military exercise or as adviser, the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States. | the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States",arguing
"As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | has declared that Iraq, Iran, and North Korea are the ""Axis of Evil",sentiment
"The term ""Axis of Evil ""that President George W. Bush used to label Iraq, Iran, and North Korea has now become a hot, much-discussed phrase. | The term ""Axis of Evil ""that President George W. Bush used to label",sentiment
He simply condenses his foreign policy for others to easily understand by distinguishing the evil from the good. | simply condenses his foreign policy for others to easily understand by distinguishing the evil from the good,arguing
Bush's objective is clear. | objective,intention
"Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons. | deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons",arguing
"As reminder, former US President Ronald Reagan used to call the Soviet Union ""the Evil Empire."" | used to call the Soviet Union ""the Evil Empire",sentiment
He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | is the evil that must be destroyed or at least deserves condemnation,sentiment
"Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | regards as enemies",sentiment
"As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear",arguing
"Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons. | adversarial US position toward",sentiment
"Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an ""evil ""it likely will readjust its stance. | stance",arguing
"Basically, he is telling the world the enemies of America is not just al-Qa'ida or Usama Bin Ladin. | the enemies of America is not just al-Qa'ida or Usama Bin Ladin",sentiment
"For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States. | regard the three countries as friends or not evil",sentiment
This may result in more intense armed confrontation. | may result in more intense armed confrontation,sentiment
He has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world. | will not end at Afghanistan,arguing
The world has heated up a notch. | The world has heated up a notch,sentiment
He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | must be destroyed,arguing
The terrorist groups may step up sabotage of US targets and the US allies. | may step up sabotage of US targets and the US allies,sentiment
Foreign policy was an issue that he never wanted to deal with before. | never wanted,sentiment
Bush's objective is clear. | is clear,arguing
A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned. | has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned,sentiment
"The US naming of North Korea may annoy China, given its assistance to the United States in the war in Afghanistan. | annoy",sentiment
"It does not matter where in the world, he will vigorously hunt terrorists down if they are perceived to seek to target the United States. | are perceived to seek to target the United States",arguing
A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned. | A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned,arguing
He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | condemnation,sentiment
"The United States is currently run by a typical Texan mentality, which is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples. | is currently run by a typical Texan mentality",arguing
"This mentality simultaneously raises apprehensions and resentment, because international economic prosperity can be built on stability, not wars. | can be built on stability, not wars",arguing
A catastrophe would engulf every country if the US arms industry progressed at the expense of the world's security and stability. | A catastrophe would engulf every country if,sentiment
"He had not read the speech before President Bush delivered it, as he was supposed to do by virtue of his post. | was supposed to do by virtue of his post",arguing
"He added: ""We are prepared to initiate a dialogue, and we want to work with our friends and allies in the world on ways of dealing with such regimes."" | want to",sentiment
"These are fine words, but they do not reflect the reality, because the hard-line wing in the US administration comprising Vice President Dick Cheney, Secretary of Defense Donald Rumsfeld, and National Security Adviser Condoleezza Rice have the final say in running affairs at the White House, and have direct influence on President Bush. | have the final say in running affairs at the White House, and have direct influence on President Bush",arguing
"These are fine words, but they do not reflect the reality, because the hard-line wing in the US administration comprising Vice President Dick Cheney, Secretary of Defense Donald Rumsfeld, and National Security Adviser Condoleezza Rice have the final say in running affairs at the White House, and have direct influence on President Bush. | hard-line",sentiment
"A day after President Bush's threat to crush these countries and use all means to prevent them from developing weapons of mass destruction, Secretary Powell said before the Senate Foreign Relations Committee that ""characterizing these counties as the axis of evil does not mean that his government intends to invade them."" | threat to",intention
We therefore have to expect the worst in the near future. | We therefore have to expect the worst in the near future,sentiment
"At any rate, Secretary Powell's remark about the US administration's readiness to enter dialogue with these ""evil ""states and with Washington's friends on ways of dealing with them involves some contradictions. | readiness to enter dialogue with",sentiment
"US Secretary of State Colin Powell, described as one of the few enlightened officials in President Bush's administration, is trying to ""patch up ""President Bush's statements, especially his latest one in which he made reckless threats at the ""axis of evil, ""namely Iran, Iraq and North Korea. | described as one of the few enlightened officials in President Bush's administration",sentiment
"Oddly enough, speculations swirled in Washington that Powell listened to President Bush's speech and his threats to ""the axis of evil ""like any other US citizen. | threats to",sentiment
"He does not want to repeat his father's mistake, being defeated in the next elections because of economic factors. | does not want to repeat his father's mistake, being defeated in the next elections because of economic factors",arguing
"The United States is these days ruled by an alliance between two main lobbies, the arms lobby and the Zionist lobby, which sees the world through the eyes of Ari'el Sharon and his extremist government. | is these days ruled by an alliance between two main lobbies, the arms lobby and the Zionist lobby",arguing
"He had not read the speech before President Bush delivered it, as he was supposed to do by virtue of his post. | had not read the speech before President Bush delivered it, as he was supposed to do by virtue of his post",sentiment
The fact that he subsequently denied these speculations does not mean they are baseless. | does not mean they are baseless,arguing
"A day after President Bush's threat to crush these countries and use all means to prevent them from developing weapons of mass destruction, Secretary Powell said before the Senate Foreign Relations Committee that ""characterizing these counties as the axis of evil does not mean that his government intends to invade them."" | does not mean that his government intends to invade them",arguing
"The United States is these days ruled by an alliance between two main lobbies, the arms lobby and the Zionist lobby, which sees the world through the eyes of Ari'el Sharon and his extremist government. | his extremist government",sentiment
"At any rate, Secretary Powell's remark about the US administration's readiness to enter dialogue with these ""evil ""states and with Washington's friends on ways of dealing with them involves some contradictions. | involves some contradictions",sentiment arguing
"US Secretary of State Colin Powell, described as one of the few enlightened officials in President Bush's administration, is trying to ""patch up ""President Bush's statements, especially his latest one in which he made reckless threats at the ""axis of evil, ""namely Iran, Iraq and North Korea. | made reckless threats at",sentiment
For he affirmed in the first speech that there would be no dialogue with Iraq until after it has accepted the return of the UN arms inspectors. | there would be no dialogue with Iraq until after it has accepted the return of the UN arms inspectors,arguing
"This mentality simultaneously raises apprehensions and resentment, because international economic prosperity can be built on stability, not wars. | can be built on stability",arguing
"It lumped North Korea with Iran and Iraq as part of the ""axis of evil ""only to mislead Arabs and Muslims and to create the impression that Islam is not alone targeted. | lumped North Korea with Iran and Iraq",sentiment
The fact that he subsequently denied these speculations does not mean they are baseless. | subsequently denied,arguing
"He does not want to repeat his father's mistake, being defeated in the next elections because of economic factors. | does not want to",sentiment
"The United States is currently run by a typical Texan mentality, which is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples. | is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples",sentiment arguing
"He added: ""We are prepared to initiate a dialogue, and we want to work with our friends and allies in the world on ways of dealing with such regimes."" | are prepared to initiate a dialogue",intention
"It lumped North Korea with Iran and Iraq as part of the ""axis of evil ""only to mislead Arabs and Muslims and to create the impression that Islam is not alone targeted. | only to mislead Arabs and Muslims and to create the impression that Islam is not alone targeted",arguing
"The US administration has already decided to ""punish ""any country it believes poses a danger to the Hebrew State. | has already decided to",intention
"US Secretary of State Colin Powell, described as one of the few enlightened officials in President Bush's administration, is trying to ""patch up ""President Bush's statements, especially his latest one in which he made reckless threats at the ""axis of evil, ""namely Iran, Iraq and North Korea. | made reckless threats at the ""axis of evil, """,sentiment
A catastrophe would engulf every country if the US arms industry progressed at the expense of the world's security and stability. | would engulf every country if the US arms industry progressed at the expense of the world's security and stability,arguing
"A day after President Bush's threat to crush these countries and use all means to prevent them from developing weapons of mass destruction, Secretary Powell said before the Senate Foreign Relations Committee that ""characterizing these counties as the axis of evil does not mean that his government intends to invade them."" | threat to crush",sentiment
There is a strong view among officials of the government and the ruling parties that application of the law for special measures to deal with terrorism would be difficult because this law is limited to dealing with the September 11 terrorist attacks on the United States only. | strong view among officials of the government and the ruling parties that application of the law for special measures to deal with terrorism would be difficult because this law is limited to dealing with the September 11 terrorist attacks on the United States only,arguing
"At a joint news conference held after the summit talks, the prime minister announced his understanding and approval of the President's statement designed to deal with the ""axis of evil."" | understanding",agreement
"With regard to the economic recovery on the other hand, the President announced his full support for the prime minister's structural reform and measures to fight deflation. | full support for",sentiment
"""I believe the comments on the'axis of evil'reflect the firm resolve of President Bush and the United States against terrorism. | the firm resolve of President Bush and the United States against terrorism",sentiment
"At a joint news conference held after the summit talks, the prime minister announced his understanding and approval of the President's statement designed to deal with the ""axis of evil."" | approval of",sentiment
"""The US strategy is beginning to work, ""(said a Foreign Ministry source). | is beginning to work",arguing
"Regarding the ""axis of evil, ""the prime minister explained his resolve to buckle down on the issue, while continuously cooperating with the United States. | continuously cooperating with",agreement
"Ever since the President announced the ""axis of evil ""statement in January, Iran, Iraq, North Korea have been trying hard, out of the fear of possible confrontation with the United States, to deny their involvement in terrorism or proliferation of mass destruction weapons. | axis of evil ""statement",sentiment
"Issues to deal with Iraq, Iran, and North Korea -- which the US President branded as the ""axis of evil ""in his statement to fight against international terrorism -- and activation of the Japanese economy were the major topics of discussion at the Japan-US summit talks held on 18 February between Prime Minister Junichiro Koizumi and US President George W. Bush. | statement to",intention
The biggest concern in that case would be Japan's military support system. | The biggest concern in that case would be Japan's military support system,arguing
"Saying that ""all options are on the table ""to deal with the ""axis of evil, ""the President also stated at the summit talks that he would ""seek a peaceful settlement."" | Saying that ""all options are on the table ""to deal with the ""axis of evil",arguing
"To tighten the noose around the ""axis of evil, ""the Japanese Government will seek understanding and cooperation from European countries that are critical of the President. | seek",sentiment
"""I believe the comments on the'axis of evil'reflect the firm resolve of President Bush and the United States against terrorism. | firm resolve of President Bush and the United States against",sentiment
"In the case of military actions against Iran on the other hand, it also seems that ""judging from the lessons we learned from the Gulf War, Japan, which relies on the crude oil from the Middle East, cannot refuse offering cooperation, ""(said a Defense Agency source). | refuse",agreement
He then clarified a posture wherein Japan would cooperate with the United States as much as possible. | clarified a posture wherein Japan would cooperate with the United States as much as possible,intention
"While cooperating with the United States, Japan will take the initiative in tackling the issue for eradication of terrorism."" | will take the initiative in",intention
"Since President Bush envisions using all options, however, we cannot deny the possibility that the United States may take military actions. | cannot deny the possibility that the United States may take military actions",arguing
"To tighten the noose around the ""axis of evil, ""the Japanese Government will seek understanding and cooperation from European countries that are critical of the President. | are critical of",sentiment
"As this indicates, discussion on the ""axis of evil ""was the main purpose of the President's visit to Japan. | As this indicates, discussion on the ""axis of evil ""was the main purpose of the President's visit to Japan",arguing
"To tighten the noose around the ""axis of evil, ""the Japanese Government will seek understanding and cooperation from European countries that are critical of the President. | To tighten the noose around",sentiment
"Regarding the ""axis of evil, ""the prime minister explained his resolve to buckle down on the issue, while continuously cooperating with the United States. | resolve to",intention
"Ever since the President announced the ""axis of evil ""statement in January, Iran, Iraq, North Korea have been trying hard, out of the fear of possible confrontation with the United States, to deny their involvement in terrorism or proliferation of mass destruction weapons. | fear of",sentiment
"Therefore, the Japanese Government will be forced to introduce diverse legislation for the purpose of giving cooperation for US military actions. | will be forced to introduce diverse legislation for the purpose of giving cooperation for US military actions",arguing
"At the same time, Japan also plans to ""work on Iran and North Korea through Japan's own diplomatic channels for settlement of the issue, ""(according to a government source). | plans to",intention
"However, Koizumi said, ""I take the remark as the indication of the President's strong resolve to fight terrorism."" | take the remark as the indication of the President's strong resolve to fight terrorism",arguing
"If Japan does not give any support to possible US attacks on Iraq despite its understanding of the axis of evil rhetoric, Bush's expectations on the Koizumi administration will certainly change to disappointment. | understanding of",agreement
"It is possible that if the US military attack Iraq, Japan, which has shown understanding of the axis of evil remark, will be asked to provide active support to the US as it did during US attacks on Afghanistan. | the axis of evil remark",sentiment
"In reply, the President said, ""We want to resolve all issues peacefully, and we intend to continue diplomatic efforts.""However, it is unclear whether Japan can actually prevent the US from taking military action. | intend to",intention
"""It is also politically very difficult ""to enact a new law considering the declining support for the Koizumi Cabinet, said a source within the Prime Minister's Official Residence. | the declining support for",sentiment
"If Japan does not give any support to possible US attacks on Iraq despite its understanding of the axis of evil rhetoric, Bush's expectations on the Koizumi administration will certainly change to disappointment. | disappointment",sentiment
"In reply, the President said, ""We want to resolve all issues peacefully, and we intend to continue diplomatic efforts.""However, it is unclear whether Japan can actually prevent the US from taking military action. | want to",sentiment
"At a Japan-US summit meeting on 18 February, Prime Minister Junichiro Koizumi expressed some understanding of US President George W. Bush's remarks that Iran, Iraq, and the DPRK (North Korea) are an ""axis of evil."" | are an ""axis of evil",sentiment
"He urged Japan to follow the US by saying: ""The international community needs to cooperate to change Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction). | needs to cooperate to change Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction)",arguing
"Although the Japanese Government has expressed understanding of Bush's axis of evil remark, it does not hope to see the US taking military action. | does not hope to",sentiment
"European countries are critical of Bush's ""axis of evil ""remark. | are critical of",sentiment
"Because of this, Koizumi noted the need for the international community to cooperate in tackling Iraqi issues and enthusiastically asked Bush to not take the bold course of launching military action. | noted the need for the international community to cooperate in tackling Iraqi issues",arguing
"However, it will be difficult for Japan to provide support to the US, as it did when the US attacked Afghanistan, if US forces launch military action against Iraq. | it will be difficult for Japan to provide support to the US, as it did when the US attacked Afghanistan, if US forces launch military action against Iraq",arguing
"It is possible that if the US military attack Iraq, Japan, which has shown understanding of the axis of evil remark, will be asked to provide active support to the US as it did during US attacks on Afghanistan. | will be asked to",sentiment
"Although the Japanese Government has expressed understanding of Bush's axis of evil remark, it does not hope to see the US taking military action. | expressed understanding of",agreement
"It is possible that if the US military attack Iraq, Japan, which has shown understanding of the axis of evil remark, will be asked to provide active support to the US as it did during US attacks on Afghanistan. | shown understanding of",agreement
"Because of this, Koizumi noted the need for the international community to cooperate in tackling Iraqi issues and enthusiastically asked Bush to not take the bold course of launching military action. | enthusiastically asked Bush to not",sentiment
"At a Japan-US summit meeting on 18 February, Prime Minister Junichiro Koizumi expressed some understanding of US President George W. Bush's remarks that Iran, Iraq, and the DPRK (North Korea) are an ""axis of evil."" | expressed some understanding of",agreement
"This left the impression that Japan stands alone on this issue because European countries have been cool to Bush's ""axis of evil ""rhetoric. | stands alone on this issue because European countries have been cool to Bush's ""axis of evil ""rhetoric",arguing
"Because of this, Koizumi noted the need for the international community to cooperate in tackling Iraqi issues and enthusiastically asked Bush to not take the bold course of launching military action. | enthusiastically asked",sentiment
It can be said that the Japanese Government has put itself in a difficult position. | It can be said that the Japanese Government has put itself in a difficult position,arguing
"He urged Japan to follow the US by saying: ""The international community needs to cooperate to change Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction). | Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction)",sentiment
"North Korea remains unconvinced, calling Bush the head of ""an empire of evil.""Its state media said last week that Bush ""is the most bellicose and heinous ""US president, and added his visit was only intended to ""fan up war hysteria "". | calling Bush the head of ""an empire of evil",sentiment
"They are the ones attacking Iraq, not the other way round, ""said Ath-Thawra, mouthpiece of the ruling Baath party in Baghdad. | are the ones attacking Iraq",arguing sentiment
"""People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations, ""Bush said. | willing to starve their people",sentiment
"TOKYO, Feb 18 (AFP) -- US President George W. Bush said Monday that all options were on the table to deal with Iraq, Iran and North Korea, even as Germany warned against any ""adventure ""in Iraq. | warned against",sentiment
South Korean ministers fear Bush's tough talking may put back by years Kim's so-called Sunshine Policy of establishing a permanent peace. | fear Bush's tough talking may put back by years Kim's so-called Sunshine Policy of establishing a permanent peace,sentiment
"Washington has long accused Baghdad, under UN sanctions since its 1990 invasion of Kuwait, of developing weapons of mass destruction. | has long accused Baghdad, under UN sanctions since its 1990 invasion of Kuwait, of developing weapons of mass destruction",sentiment arguing
"""They are seeking unilaterally to become the masters of the world and want to sweep aside all competitors from other countries."" | want to sweep aside",sentiment
"Washington alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran, which Iranian officials have hotly denied but said they would act if provided with evidence. | alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran",sentiment arguing
"During the three-hour occupation, protesters hurled leaflets proclaiming Bush to be a ""war freak "". | proclaiming Bush to be a ""war freak",sentiment
"""We also hope that Iraq gives a favourable response and allows UN weapon inspectors ""to return to the country, he added. | hope",sentiment
Angry anti-US protests erupted in Seoul ahead of Bush's arrival with police storming the American Chamber of Commerce and detaining 32 students occupying the building. | Angry anti-US protests erupted,sentiment
He had also insisted on the right of the allies to be informed and consulted about US plans. | had also insisted on the right of the allies to be informed and consulted about US plans,arguing
"Even though US officials have stressed that no firm military plans exist for expanding the war on terror launched after the September 11 attacks, they said late Sunday that Iraqi President Saddam Hussein should go. | have stressed that no firm military plans exist for expanding the war on terror",arguing
"The United States maintains some 37,000 troops on the Korean peninsula, and Bush has called the de-militarised zone dividing South Korea from its hardline communist northern neighbour ""one of the most dangerous places on earth "". | has called the de-militarised zone dividing South Korea from its hardline communist northern neighbour ""one of the most dangerous places on earth",sentiment
"""People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations, ""Bush said. | People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations",sentiment arguing
"North Korea remains unconvinced, calling Bush the head of ""an empire of evil.""Its state media said last week that Bush ""is the most bellicose and heinous ""US president, and added his visit was only intended to ""fan up war hysteria "". | an empire of evil",sentiment
"North Korea remains unconvinced, calling Bush the head of ""an empire of evil.""Its state media said last week that Bush ""is the most bellicose and heinous ""US president, and added his visit was only intended to ""fan up war hysteria "". | his visit was only intended to ""fan up war hysteria",sentiment
"""People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations, ""Bush said. | understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations",arguing
"They are the ones attacking Iraq, not the other way round, ""said Ath-Thawra, mouthpiece of the ruling Baath party in Baghdad. | not the other way round",arguing
"""We've made no secret of the fact that we think that the world will be much safer when the Iraqi people have a regime that they deserve instead of the regime that they have, ""National Security Adviser Condoleezza Rice told CBS television. | think that the world will be much safer when the Iraqi people have a regime that they deserve instead of the regime that they have",arguing
"""We want to resolve all issues peacefully, whether it be Iraq, Iran or North Korea, ""Bush said, speaking next to Japanese Prime Minister Junichiro Koizumi. | want to",sentiment
"A diplomatic source said the affair could become ""embarrassing ""for European countries, ""because of the insistence of the Americans on judging for themselves ""those who supported al-Qaeda. | the affair could become ""embarrassing ""for European countries, ""because of the insistence of the Americans on judging for themselves ""those who supported al-Qaeda",sentiment
"The president renewed his pledge to thwart terrorist groups who want to ""mate up ""with regimes hoping to acquire weapons of mass destruction and said ""nations will come with us ""if the US-led war on terrorism is extended. | want to ""mate up ""with regimes hoping to acquire weapons of mass destruction",sentiment
"The president renewed his pledge to thwart terrorist groups who want to ""mate up ""with regimes hoping to acquire weapons of mass destruction and said ""nations will come with us ""if the US-led war on terrorism is extended. | renewed his pledge to",intention
"In Berlin, Germany's chief government spokesman Uwe-Karsten Heye told journalists, ""The federal government cannot imagine that the United States government has an interest in engaging in an adventure ""in Iraq. | cannot imagine that the United States government has an interest in engaging in an adventure ""in Iraq",arguing
"""They are seeking unilaterally to become the masters of the world and want to sweep aside all competitors from other countries."" | are seeking unilaterally to",sentiment
"""It is the United States that is threatening Iraq and not the contrary. | is threatening",sentiment
"Asked about French Foreign Minister Hubert Vedrine's criticism of the ""axis ""concept as ""simplistic, ""Bush said: ""I understand what happens in the international arena; people say things. | criticism of the ""axis ""concept as ""simplistic",sentiment
"North Korea remains unconvinced, calling Bush the head of ""an empire of evil.""Its state media said last week that Bush ""is the most bellicose and heinous ""US president, and added his visit was only intended to ""fan up war hysteria "". | is the most bellicose and heinous ""US president",sentiment
"Bush has lumped those three countries together in what terms an ""axis of evil, ""in language that has riled US allies. | has lumped those three countries together in what terms an ""axis of evil",sentiment
"""They understand that our commitment is not just in Afghanistan, that history has given us a unique opportunity to defend freedom, ""he added. | understand that our commitment is not just in Afghanistan, that history has given us a unique opportunity to defend freedom",sentiment
"Washington alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran, which Iranian officials have hotly denied but said they would act if provided with evidence. | have hotly denied",sentiment arguing
"German Foreign Minister Joschka Fischer last week sharply criticised Bush's ""axis of evil ""remarks, telling a newspaper that such a concept ""gets us nowhere."" | sharply criticised",sentiment
"""They understand that our commitment is not just in Afghanistan, that history has given us a unique opportunity to defend freedom, ""he added. | is not just in Afghanistan",arguing
"But his tough stand on P'yongyang has provoked concern in Seoul, where President Kim Tae-chung, who is in the last year of his five-year term, has been trying to prise the hermit state out of isolation. | has provoked concern",sentiment
