input,output
"expressive | Moreover, the US is the first and only nation ever to deploy such weapons. | Moreover",low
"expressive | Come to think of it, acquiring weapons of mass destruction per se may not be a correct basis for judging whether a nation is good or evil. | Come to think of it",medium
"expressive | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | As for",low
"expressive | This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | more restrained and responsible",medium
"expressive | Moreover, the US is the first and only nation ever to deploy such weapons. | first and only",low
"expressive | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | particularly noteworthy",high
"expressive | The rule, as far as human rights are concerned, is that every nation which does not enjoy pluralistic democracy is violating human rights and is therefore oppressive. | violating human rights",medium
"expressive | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | but rather because",low
"expressive | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | not so much",low
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,medium
"arguing | In other words, countries which are seeking or developing such arsenal at a slow pace do not seem to come within the scope of the ""axis of evil "". | do not seem to come within the scope of the ""axis of evil",low
"sentiment | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | feel that its own national security is being threatened",medium high
"arguing | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | aggressively seeking ""nuclear, biological or chemical weapons",medium high
"arguing | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights. | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights",medium high
"arguing | This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction",low medium
"sentiment | PRESIDENT GEORGE Bush's National Security Adviser Condoleezza Rice has recently ""defined ""the context and scope of the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe Iraq, Iran and North Korea. | the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe",high
"arguing | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry",low medium
"arguing | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words",medium
"arguing | Come to think of it, acquiring weapons of mass destruction per se may not be a correct basis for judging whether a nation is good or evil. | may not be a correct basis for judging whether a nation is good or evil",low medium
"arguing | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | have neither the knowledge nor the money to join the ""nuclear club",medium high
"sentiment | This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | fear",medium high
"sentiment | The criteria set by Rice are the following: the three countries in question are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction. | are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction",high
"sentiment | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | aggressively seeking ""nuclear, biological or chemical weapons",medium high
"arguing | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | are doing so not so much to escape being branded as ""evil",low medium
"expressive | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | always",medium
expressive | This is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions. | only,low
"expressive | He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | should follow",medium
"expressive | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | irrefutable",medium
"expressive | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | bound to be serious",medium
"expressive | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should not be",medium
"expressive | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should be",medium
expressive | China Disapproves Use of'Axis of Evil'in International Relations | Axis of Evil,high
"expressive | Kong made the remark when asked to comment on the different views given by the New York Times and the Washington Post recentlyon a statement by the U.S. leader describing the Democratic People's Republic of Korea, Iran and Iraq as the ""axis of evil ""nations. | axis of evil",high
expressive | This is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions. | safeguarding,medium
"expressive | He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | equal footing",medium
"arguing | He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | the principle that all countries should be treated on an equal footing",medium
"agreement | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | do not agree to",medium
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | always holds that anti-terrorism campaigns should be based on irrefutable evidence",low medium
"sentiment | Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | the use of such words as the ""axis of evil",high
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should not be expanded arbitrarily",medium
"arguing | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | pointing out that the consequences are bound to be serious if the logic of the wording is followed",medium
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should be based on irrefutable evidence",medium
"sentiment | Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | disapproves of",medium
"sentiment | ""We disapprove of the use of such words in international relations, ""said Kong, who also made the same comment when answering related questions earlier. | disapprove of",medium
"arguing | He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing",medium high
arguing | This is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions. | is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions,medium
"sentiment | Kong made the remark when asked to comment on the different views given by the New York Times and the Washington Post recentlyon a statement by the U.S. leader describing the Democratic People's Republic of Korea, Iran and Iraq as the ""axis of evil ""nations. | describing the Democratic People's Republic of Korea, Iran and Iraq as the ""axis of evil ""nations",high
sentiment | China Disapproves Use of'Axis of Evil'in International Relations | Disapproves,medium
"arguing | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil",low
sentiment | China Disapproves Use of'Axis of Evil'in International Relations | Use of'Axis of Evil ',high
"expressive | And he unfurled his own list of ""rogue states ""that either support terror or build arsenals of deadly weapons. | rogue states",high
"expressive | What the three states do share, it went on, is chilly relations with the United States. | chilly",low
"expressive | Ivanov said the West uses a double standard in its definition of terrorism, asking why members of Osama bin Laden's al Qaeda network are terrorists, but not Chechen separatists fighting Russia. | uses a double standard in its definition of terrorism",high
"expressive | ""The Iranians have not done what the Pakistan government has done, put troops along the border to prevent terrorists from escaping out of Afghanistan into their country, ""Rumsfeld said on ABC's This Week. | The Iranians have not done what the Pakistan government has done",low
expressive | A diverse U.S. delegation delivered a singular message to conference participants: NATO remains vital and the United States needs a range of allies in the fight against terrorism and intends to consult its friends. | NATO remains vital,medium
"expressive | But America is at war, the audience heard repeatedly. | But America is at war",high
"expressive | Italian Defense Minister Antonio Martino, meanwhile, said Sunday that his country would not support an attack on Iraq without ""proven proof ""that Baghdad is supporting al Qaeda, and Iraqi leader Saddam Hussein dispatched a delegation to meet with European Union leaders in Spain. | without ""proven proof",low
"expressive | China's official Xinhua news agency also weighed in Sunday on Bush's choice of words, accusing the president of orchestrating public opinion in advance of possible strikes against the three countries in an expansion of the war against terrorism. | orchestrating",medium
"expressive | Ivanov said the West uses a double standard in its definition of terrorism, asking why members of Osama bin Laden's al Qaeda network are terrorists, but not Chechen separatists fighting Russia. | but not",low
"expressive | It will do what it feels necessary, and Saddam Hussein is the next target unless Iraq shapes up. | Saddam Hussein is the next target unless Iraq shapes up",high
"expressive | Ivanov said there was no evidence Belarus has sold arms to nations under sanction such as Iraq, though it did do business with nations not under sanctions such as Tajikistan, Angola and ""even Gulf states."" | even Gulf states",low
expressive | It is a stark reminder that differences remain between two former enemies who have moved closer together since Sept. 11. | It is a stark reminder that differences remain,medium
"expressive | Ivanov said there was no evidence Belarus has sold arms to nations under sanction such as Iraq, though it did do business with nations not under sanctions such as Tajikistan, Angola and ""even Gulf states."" | there was no evidence",low
expressive | Sunday's final session also underscored the vast differences between the United States and Russia. | underscored the vast differences between,medium
expressive | Foreign Minister Sergei Ivanov told a global conference of government and military leaders that he sees no evidence that any of the three nations supports terrorism and insisted that any move against them must follow international law. | any of,low
"expressive | President Bush described Iraq, Iran and North Korea as an ""axis of evil ""during his State of the Union address on Jan. 26. | an ""axis of evil",high
expressive | Foreign Minister Sergei Ivanov told a global conference of government and military leaders that he sees no evidence that any of the three nations supports terrorism and insisted that any move against them must follow international law. | must,medium
"expressive | ""Well, we don't like some of your allies like Saudi Arabia or Gulf states who give finance to terrorism organizations, ""Ivanov said. | some of your allies",low
expressive | Foreign Minister Sergei Ivanov told a global conference of government and military leaders that he sees no evidence that any of the three nations supports terrorism and insisted that any move against them must follow international law. | no evidence,low
"expressive | ""He spoke arrogantly, humiliatingly, aggressively and in an interfering way -- and worse than anything, it is an insult to the Iranian nation, ""Khatami said at a Cabinet session Wednesday night. | arrogantly, humiliatingly, aggressively and in an interfering way",high
"expressive | He repeated the theme Wednesday during a town hall meeting in North Carolina, saying, ""The United States of America will do whatever it takes to defend our security."" | will do whatever it takes to defend our security",high
"expressive | The president also named Iraq as a nation that ""continues to flaunt its hostility toward America and to support terror."" | a nation that ""continues to flaunt its hostility toward America and to support terror",high
expressive | 'Axis of evil'charge raises questions | Axis of evil,high
"expressive | But the president's remarks clearly expanded the scope of his anti-terrorism campaign while elevating the fight against the spread of nuclear, chemical and biological weapons to a major foreign-policy priority, U.S. officials said. | major foreign-policy priority",medium
"expressive | WASHINGTON -- President Bush's declaration that countries such as Iran, Iraq and North Korea represent an ""axis of evil ""that must be prevented from acquiring weapons of mass destruction touched off questions around the globe Wednesday. | must be prevented",high
"expressive | And North Korea's official Korean Central News Agency (KCNA) monitored in Seoul had this to say: ""The remarks were merely a shenanigan aimed at continuing with its policy of agression against us."" | were merely a shenanigan aimed at continuing with its policy of agression against us",high
expressive | But Bush's pledge to do whatever is necessary to stop them and nations like them appeared to represent a significant hardening of the U.S. position. | appeared to represent a significant hardening,medium
"expressive | ""I don't think it is a wise thing to corner the North Koreans and cut any routes to talking with them, ""said Yukihiko Ikeda, a Japanese congressman and former foreign minister. | corner",low
"expressive | Iraqi Vice President Taha Yassin Ramadan, responding to Bush's ""axis of evil ""remark, said the U.S. government ""is the source of evil ""in the world. | axis of evil",high
"expressive | But the president's remarks clearly expanded the scope of his anti-terrorism campaign while elevating the fight against the spread of nuclear, chemical and biological weapons to a major foreign-policy priority, U.S. officials said. | elevating the fight",medium
"expressive | The president told Congress that Iran, Iraq and North Korea pose ""a grave and growing danger ""because they seek weapons of mass destruction and have links with terrorist groups. | because they seek weapons of mass destruction and have links with terrorist groups",high
"expressive | Of course the second side in the US axis is Israel, and definitely the third side will go to no one but Britain, as it conforms to the same criteria and because it completely supports the US stance and considers it the absolute right in all cases. | Of course",low
"expressive | Of course the second side in the US axis is Israel, and definitely the third side will go to no one but Britain, as it conforms to the same criteria and because it completely supports the US stance and considers it the absolute right in all cases. | second side in the US axis is Israel",high
"expressive | We can review, for example, the voting results in the Security Council to see how Washington always defends Israel, then how Britain always justifies the stances by both countries in admirable harmony. | in admirable harmony",medium
"expressive | Namely that the countries of the axis of evil, from his point of view, are those that produce, develop, and amass weapons of mass destruction in a way that threatens the security and stability of its neighbors, as well as all the countries in the world. | the axis of evil",high
"expressive | Namely that the countries of the axis of evil, from his point of view, are those that produce, develop, and amass weapons of mass destruction in a way that threatens the security and stability of its neighbors, as well as all the countries in the world. | Namely",low
"expressive | Of course the second side in the US axis is Israel, and definitely the third side will go to no one but Britain, as it conforms to the same criteria and because it completely supports the US stance and considers it the absolute right in all cases. | the absolute right in all cases",high
"expressive | Thus roles were distributed specifically and clearly, and each role was drawn accurately and with care, exactly as was the case in the great movie ""The Second Wife ""between the tyrannical mayor with power, Abu-al-Ila, the simple peasant who owns nothing but the clothes on his back and a gang of children, and his wife, who was coveted by the mayor. | drawn accurately and with care",low
"expressive | So now we only wait for the advice of Haj Zinni to obey those in authority, so that we would not become terrorists like Iraq, North Korea, and Iran! | so that we would not become terrorists",high
"expressive | We can review, for example, the voting results in the Security Council to see how Washington always defends Israel, then how Britain always justifies the stances by both countries in admirable harmony. | always",low
"expressive | Immediately a neutral intermediate appears, represented in the fake imposter Shaykh, who is the friend of the mayor in the axis of evil. | in the axis of evil",low
"expressive | Thus roles were distributed specifically and clearly, and each role was drawn accurately and with care, exactly as was the case in the great movie ""The Second Wife ""between the tyrannical mayor with power, Abu-al-Ila, the simple peasant who owns nothing but the clothes on his back and a gang of children, and his wife, who was coveted by the mayor. | roles were distributed specifically and clearly",medium
"expressive | Thus, after the US mass media and newspapers revealed the report by the Pentagon that listed seven countries to be attacked with US atomic weapons in case US national security was threatened, it became clear that the United States develops and produces weapons of mass destruction to threaten the stability and security of the world, and that it violates the United Nations Charter attacking independent and sovereign nations. | violates the United Nations Charter",medium
"expressive | Thus, after the US mass media and newspapers revealed the report by the Pentagon that listed seven countries to be attacked with US atomic weapons in case US national security was threatened, it became clear that the United States develops and produces weapons of mass destruction to threaten the stability and security of the world, and that it violates the United Nations Charter attacking independent and sovereign nations. | it became clear",low
"expressive | Of course the second side in the US axis is Israel, and definitely the third side will go to no one but Britain, as it conforms to the same criteria and because it completely supports the US stance and considers it the absolute right in all cases. | definitely the third side will go to no one but Britain",high
"expressive | It has now become our right to announce clearly that the United States had become one of the sides of the axis of evil according to the same criteria set by the United States itself, and declared by its President George Bush. | has now become our right",medium
"expressive | So now we only wait for the advice of Haj Zinni to obey those in authority, so that we would not become terrorists like Iraq, North Korea, and Iran! | to obey those in authority",medium
"expressive | If Yasser Arafat is trying to do something to pacify the West, other Arab politicians and journalists are not afraid of saying something daring. | daring",medium
expressive | America is axis of evil for the Arab world | axis of evil,high
"expressive | The Soviet Union was also called the ""evil empire ""years ago. | evil empire",high
"expressive | Palestinian Alhayat Aljadeeda media outlets and the Voice of Palestine radio repeatedly called America the enemy of the Palestinian people after that ""axis of evil ""statement. | that ""axis of evil ""statement",medium
expressive | The editor wrote that Bush showed in his speech that he is craving for blood and is ready to declare war on half of the world in order to take revenge. | craving for blood,high
"expressive | The editor of the Arabic newspaper believes that one should do everything possible to put an end to Bush's imprudence, otherwise the war that he is going to have will overshadow the World Wars. | imprudence",medium
"expressive | North Korea said America was the ""devil's empire.""The official Korean news agency stated that Bush used ""the hypothetical threat against North Korea as the pretext for the considerable increase of military spending."" | hypothetical",low
expressive | The editor wrote that Bush showed in his speech that he is craving for blood and is ready to declare war on half of the world in order to take revenge. | showed,low
"expressive | The editor of the Arabic newspaper believes that one should do everything possible to put an end to Bush's imprudence, otherwise the war that he is going to have will overshadow the World Wars. | otherwise",low
"expressive | However, it is becoming rather fashionable now for countries to exchange harsh words with each other like kids. | like kids",medium
expressive | The threats to Iran and Iraq were like Hitler's threats to Poland and Czech republic. | like Hitler's threats,high
"expressive | Palestinian Alhayat Aljadeeda media outlets and the Voice of Palestine radio repeatedly called America the enemy of the Palestinian people after that ""axis of evil ""statement. | enemy",high
"expressive | North Korea said America was the ""devil's empire.""The official Korean news agency stated that Bush used ""the hypothetical threat against North Korea as the pretext for the considerable increase of military spending."" | ""devil's empire.""",high
expressive | It seemed that such labels would never come into the picture again. | such,low
expressive | The editor wrote that Bush showed in his speech that he is craving for blood and is ready to declare war on half of the world in order to take revenge. | half of the world,medium
"expressive | The editor of the Arabic newspaper believes that one should do everything possible to put an end to Bush's imprudence, otherwise the war that he is going to have will overshadow the World Wars. | put an end",medium
expressive | The editor wrote that Bush showed in his speech that he is craving for blood and is ready to declare war on half of the world in order to take revenge. | take revenge,high
expressive | Atvan said that Bush's speech looked like one of Hitler's. | looked like one of Hitler 's,high
"expressive | The editor of the Arabic newspaper believes that one should do everything possible to put an end to Bush's imprudence, otherwise the war that he is going to have will overshadow the World Wars. | overshadow",medium
"expressive | For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States. | to be enemies",high
expressive | He has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world. | will spread,medium
"expressive | Basically, he is telling the world the enemies of America is not just al-Qa'ida or Usama Bin Ladin. | enemies of America is not just",high
expressive | The terrorist groups may step up sabotage of US targets and the US allies. | may step up sabotage,low
"expressive | It is necessary for Thai people to understand the important change in the policy of the country whose economic, political, and military influence impact on the world the most. | It is necessary",medium
"expressive | As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | duty to stop them",medium
"expressive | Basically, he is telling the world the enemies of America is not just al-Qa'ida or Usama Bin Ladin. | Basically",low
"expressive | The term ""Axis of Evil ""that President George W. Bush used to label Iraq, Iran, and North Korea has now become a hot, much-discussed phrase. | Axis of Evil",high
expressive | This may result in more intense armed confrontation. | may result,low
"expressive | Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an ""evil ""it likely will readjust its stance. | likely will readjust",low
"expressive | Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | as enemies",high
"expressive | It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well. | as evil",high
"expressive | It does not matter where in the world, he will vigorously hunt terrorists down if they are perceived to seek to target the United States. | if",low
"expressive | The US naming of North Korea may annoy China, given its assistance to the United States in the war in Afghanistan. | given",low
"expressive | Although the US role is identified as participation in military exercise or as adviser, the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States. | Although",low
"expressive | As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | Axis of Evil",high
"expressive | It is necessary for Thai people to understand the important change in the policy of the country whose economic, political, and military influence impact on the world the most. | important change",medium
"expressive | Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons. | to emphasize",low
expressive | He has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world. | war against terrorism will not end,high
expressive | A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned. | A close look will show,low
"expressive | Although the US role is identified as participation in military exercise or as adviser, the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States. | targets are the groups that are regarded as enemies",high
expressive | A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned. | aggressive policy,medium
"expressive | For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States. | as friends or not evil",medium
"expressive | As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | emphatically implies",medium
"expressive | As reminder, former US President Ronald Reagan used to call the Soviet Union ""the Evil Empire."" | the Evil Empire",high
expressive | He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | deserves condemnation,high
expressive | The new US policy deserves to be closely analyzed and monitored. | deserves to be,medium
"expressive | Although the US role is identified as participation in military exercise or as adviser, the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States. | enemies",high
expressive | The countries that possess the lethal weapons are the targets of suppression by the United States. | are the targets of suppression,medium
expressive | The world has heated up a notch. | The world has heated up a notch,medium
expressive | He simply condenses his foreign policy for others to easily understand by distinguishing the evil from the good. | simply condenses,low
expressive | A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned. | without comprehensively consulting with the countries concerned,medium
"expressive | Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | Whether",low
expressive | Bush's objective is clear. | is clear,low
"expressive | The US naming of North Korea may annoy China, given its assistance to the United States in the war in Afghanistan. | may annoy",low
"agreement | Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | agrees with",medium
"sentiment | It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well. | feel the same way about",low medium
arguing | He has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world. | has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world,medium
"sentiment | It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well. | wants",medium
arguing | Many believed that Bush was naive about foreign affairs. | believed that Bush was naive about foreign affairs,medium
"arguing | Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an ""evil ""it likely will readjust its stance. | tried to become more helpful to the United States during the war in Afghanistan",low medium
"arguing | Although the US role is identified as participation in military exercise or as adviser, the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States. | the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States",medium
"sentiment | As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | has declared that Iraq, Iran, and North Korea are the ""Axis of Evil",high
"sentiment | The term ""Axis of Evil ""that President George W. Bush used to label Iraq, Iran, and North Korea has now become a hot, much-discussed phrase. | The term ""Axis of Evil ""that President George W. Bush used to label",high
arguing | He simply condenses his foreign policy for others to easily understand by distinguishing the evil from the good. | simply condenses his foreign policy for others to easily understand by distinguishing the evil from the good,low medium
intention | Bush's objective is clear. | objective,low medium
"arguing | Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons. | deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons",low medium
"sentiment | As reminder, former US President Ronald Reagan used to call the Soviet Union ""the Evil Empire."" | used to call the Soviet Union ""the Evil Empire",high
sentiment | He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | is the evil that must be destroyed or at least deserves condemnation,high
"sentiment | Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | regards as enemies",high
