input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,positive
"arguing | Although the US role is identified as participation in military exercise or as adviser, the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States. | the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States",positive
"sentiment | As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | has declared that Iraq, Iran, and North Korea are the ""Axis of Evil",negative
"sentiment | The term ""Axis of Evil ""that President George W. Bush used to label Iraq, Iran, and North Korea has now become a hot, much-discussed phrase. | The term ""Axis of Evil ""that President George W. Bush used to label",negative
arguing | He simply condenses his foreign policy for others to easily understand by distinguishing the evil from the good. | simply condenses his foreign policy for others to easily understand by distinguishing the evil from the good,positive
intention | Bush's objective is clear. | objective,positive
"arguing | Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons. | deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons",positive
"sentiment | As reminder, former US President Ronald Reagan used to call the Soviet Union ""the Evil Empire."" | used to call the Soviet Union ""the Evil Empire",negative
sentiment | He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | is the evil that must be destroyed or at least deserves condemnation,negative
"sentiment | Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | regards as enemies",negative
"arguing | As Bush has declared that Iraq, Iran, and North Korea are the ""Axis of Evil, ""it emphatically implies that he regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear. | regards it as duty to stop them from manufacturing or acquiring lethal weapons, be they chemical, biological, or nuclear",positive
"sentiment | Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons. | adversarial US position toward",negative
sentiment | Many believed that Bush was naive about foreign affairs. | believed that Bush was naive about foreign affairs,negative
"arguing | Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an ""evil ""it likely will readjust its stance. | stance",positive
"sentiment | Basically, he is telling the world the enemies of America is not just al-Qa'ida or Usama Bin Ladin. | the enemies of America is not just al-Qa'ida or Usama Bin Ladin",negative
"sentiment | For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States. | regard the three countries as friends or not evil",positive
sentiment | This may result in more intense armed confrontation. | may result in more intense armed confrontation,negative
arguing | He has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world. | will not end at Afghanistan,negative
sentiment | The world has heated up a notch. | The world has heated up a notch,negative
arguing | He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | must be destroyed,positive
sentiment | The terrorist groups may step up sabotage of US targets and the US allies. | may step up sabotage of US targets and the US allies,negative
sentiment | Foreign policy was an issue that he never wanted to deal with before. | never wanted,negative
arguing | Bush's objective is clear. | is clear,positive
sentiment | A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned. | has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned,negative
"sentiment | The US naming of North Korea may annoy China, given its assistance to the United States in the war in Afghanistan. | annoy",negative
"arguing | It does not matter where in the world, he will vigorously hunt terrorists down if they are perceived to seek to target the United States. | are perceived to seek to target the United States",positive
arguing | A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned. | A close look will show that the United States has already carried out this aggressive policy in abrupt and rapid manner without comprehensively consulting with the countries concerned,positive
sentiment | He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation. | condemnation,negative
"arguing | The United States is currently run by a typical Texan mentality, which is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples. | is currently run by a typical Texan mentality",positive
"arguing | This mentality simultaneously raises apprehensions and resentment, because international economic prosperity can be built on stability, not wars. | can be built on stability, not wars",negative
sentiment | A catastrophe would engulf every country if the US arms industry progressed at the expense of the world's security and stability. | A catastrophe would engulf every country if,negative
"arguing | He had not read the speech before President Bush delivered it, as he was supposed to do by virtue of his post. | was supposed to do by virtue of his post",positive
"sentiment | He added: ""We are prepared to initiate a dialogue, and we want to work with our friends and allies in the world on ways of dealing with such regimes."" | want to",positive
"arguing | These are fine words, but they do not reflect the reality, because the hard-line wing in the US administration comprising Vice President Dick Cheney, Secretary of Defense Donald Rumsfeld, and National Security Adviser Condoleezza Rice have the final say in running affairs at the White House, and have direct influence on President Bush. | have the final say in running affairs at the White House, and have direct influence on President Bush",positive
"sentiment | These are fine words, but they do not reflect the reality, because the hard-line wing in the US administration comprising Vice President Dick Cheney, Secretary of Defense Donald Rumsfeld, and National Security Adviser Condoleezza Rice have the final say in running affairs at the White House, and have direct influence on President Bush. | hard-line",negative
"intention | A day after President Bush's threat to crush these countries and use all means to prevent them from developing weapons of mass destruction, Secretary Powell said before the Senate Foreign Relations Committee that ""characterizing these counties as the axis of evil does not mean that his government intends to invade them."" | threat to",positive
sentiment | We therefore have to expect the worst in the near future. | We therefore have to expect the worst in the near future,negative
"sentiment | At any rate, Secretary Powell's remark about the US administration's readiness to enter dialogue with these ""evil ""states and with Washington's friends on ways of dealing with them involves some contradictions. | readiness to enter dialogue with",positive
"sentiment | US Secretary of State Colin Powell, described as one of the few enlightened officials in President Bush's administration, is trying to ""patch up ""President Bush's statements, especially his latest one in which he made reckless threats at the ""axis of evil, ""namely Iran, Iraq and North Korea. | described as one of the few enlightened officials in President Bush's administration",positive
"sentiment | Oddly enough, speculations swirled in Washington that Powell listened to President Bush's speech and his threats to ""the axis of evil ""like any other US citizen. | threats to",negative
"arguing | He does not want to repeat his father's mistake, being defeated in the next elections because of economic factors. | does not want to repeat his father's mistake, being defeated in the next elections because of economic factors",positive
"arguing | The United States is these days ruled by an alliance between two main lobbies, the arms lobby and the Zionist lobby, which sees the world through the eyes of Ari'el Sharon and his extremist government. | is these days ruled by an alliance between two main lobbies, the arms lobby and the Zionist lobby",positive
"sentiment | He had not read the speech before President Bush delivered it, as he was supposed to do by virtue of his post. | had not read the speech before President Bush delivered it, as he was supposed to do by virtue of his post",negative
arguing | The fact that he subsequently denied these speculations does not mean they are baseless. | does not mean they are baseless,negative
"arguing | A day after President Bush's threat to crush these countries and use all means to prevent them from developing weapons of mass destruction, Secretary Powell said before the Senate Foreign Relations Committee that ""characterizing these counties as the axis of evil does not mean that his government intends to invade them."" | does not mean that his government intends to invade them",negative
"sentiment | The United States is these days ruled by an alliance between two main lobbies, the arms lobby and the Zionist lobby, which sees the world through the eyes of Ari'el Sharon and his extremist government. | his extremist government",negative
"sentiment | At any rate, Secretary Powell's remark about the US administration's readiness to enter dialogue with these ""evil ""states and with Washington's friends on ways of dealing with them involves some contradictions. | involves some contradictions",negative
"sentiment | US Secretary of State Colin Powell, described as one of the few enlightened officials in President Bush's administration, is trying to ""patch up ""President Bush's statements, especially his latest one in which he made reckless threats at the ""axis of evil, ""namely Iran, Iraq and North Korea. | made reckless threats at",negative
arguing | For he affirmed in the first speech that there would be no dialogue with Iraq until after it has accepted the return of the UN arms inspectors. | there would be no dialogue with Iraq until after it has accepted the return of the UN arms inspectors,negative
"arguing | This mentality simultaneously raises apprehensions and resentment, because international economic prosperity can be built on stability, not wars. | can be built on stability",positive
"sentiment | It lumped North Korea with Iran and Iraq as part of the ""axis of evil ""only to mislead Arabs and Muslims and to create the impression that Islam is not alone targeted. | lumped North Korea with Iran and Iraq",negative
"arguing | At any rate, Secretary Powell's remark about the US administration's readiness to enter dialogue with these ""evil ""states and with Washington's friends on ways of dealing with them involves some contradictions. | involves some contradictions",positive
arguing | The fact that he subsequently denied these speculations does not mean they are baseless. | subsequently denied,negative
"sentiment | He does not want to repeat his father's mistake, being defeated in the next elections because of economic factors. | does not want to",negative
"sentiment | The United States is currently run by a typical Texan mentality, which is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples. | is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples",negative
"intention | He added: ""We are prepared to initiate a dialogue, and we want to work with our friends and allies in the world on ways of dealing with such regimes."" | are prepared to initiate a dialogue",positive
"arguing | It lumped North Korea with Iran and Iraq as part of the ""axis of evil ""only to mislead Arabs and Muslims and to create the impression that Islam is not alone targeted. | only to mislead Arabs and Muslims and to create the impression that Islam is not alone targeted",positive
"intention | The US administration has already decided to ""punish ""any country it believes poses a danger to the Hebrew State. | has already decided to",positive
"arguing | The United States is currently run by a typical Texan mentality, which is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples. | is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples",positive
"sentiment | US Secretary of State Colin Powell, described as one of the few enlightened officials in President Bush's administration, is trying to ""patch up ""President Bush's statements, especially his latest one in which he made reckless threats at the ""axis of evil, ""namely Iran, Iraq and North Korea. | made reckless threats at the ""axis of evil, """,negative
arguing | A catastrophe would engulf every country if the US arms industry progressed at the expense of the world's security and stability. | would engulf every country if the US arms industry progressed at the expense of the world's security and stability,positive
"sentiment | A day after President Bush's threat to crush these countries and use all means to prevent them from developing weapons of mass destruction, Secretary Powell said before the Senate Foreign Relations Committee that ""characterizing these counties as the axis of evil does not mean that his government intends to invade them."" | threat to crush",negative
arguing | There is a strong view among officials of the government and the ruling parties that application of the law for special measures to deal with terrorism would be difficult because this law is limited to dealing with the September 11 terrorist attacks on the United States only. | strong view among officials of the government and the ruling parties that application of the law for special measures to deal with terrorism would be difficult because this law is limited to dealing with the September 11 terrorist attacks on the United States only,positive
"agreement | At a joint news conference held after the summit talks, the prime minister announced his understanding and approval of the President's statement designed to deal with the ""axis of evil."" | understanding",positive
"sentiment | With regard to the economic recovery on the other hand, the President announced his full support for the prime minister's structural reform and measures to fight deflation. | full support for",positive
"sentiment | ""I believe the comments on the'axis of evil'reflect the firm resolve of President Bush and the United States against terrorism. | the firm resolve of President Bush and the United States against terrorism",positive
"sentiment | At a joint news conference held after the summit talks, the prime minister announced his understanding and approval of the President's statement designed to deal with the ""axis of evil."" | approval of",positive
"arguing | ""The US strategy is beginning to work, ""(said a Foreign Ministry source). | is beginning to work",positive
"agreement | Regarding the ""axis of evil, ""the prime minister explained his resolve to buckle down on the issue, while continuously cooperating with the United States. | continuously cooperating with",positive
"sentiment | Ever since the President announced the ""axis of evil ""statement in January, Iran, Iraq, North Korea have been trying hard, out of the fear of possible confrontation with the United States, to deny their involvement in terrorism or proliferation of mass destruction weapons. | axis of evil ""statement",negative
"intention | Issues to deal with Iraq, Iran, and North Korea -- which the US President branded as the ""axis of evil ""in his statement to fight against international terrorism -- and activation of the Japanese economy were the major topics of discussion at the Japan-US summit talks held on 18 February between Prime Minister Junichiro Koizumi and US President George W. Bush. | statement to",positive
arguing | The biggest concern in that case would be Japan's military support system. | The biggest concern in that case would be Japan's military support system,positive
"arguing | Saying that ""all options are on the table ""to deal with the ""axis of evil, ""the President also stated at the summit talks that he would ""seek a peaceful settlement."" | Saying that ""all options are on the table ""to deal with the ""axis of evil",positive
"sentiment | To tighten the noose around the ""axis of evil, ""the Japanese Government will seek understanding and cooperation from European countries that are critical of the President. | seek",positive
"sentiment | ""I believe the comments on the'axis of evil'reflect the firm resolve of President Bush and the United States against terrorism. | firm resolve of President Bush and the United States against",negative
"agreement | In the case of military actions against Iran on the other hand, it also seems that ""judging from the lessons we learned from the Gulf War, Japan, which relies on the crude oil from the Middle East, cannot refuse offering cooperation, ""(said a Defense Agency source). | refuse",negative
intention | He then clarified a posture wherein Japan would cooperate with the United States as much as possible. | clarified a posture wherein Japan would cooperate with the United States as much as possible,positive
"intention | While cooperating with the United States, Japan will take the initiative in tackling the issue for eradication of terrorism."" | will take the initiative in",positive
"arguing | Since President Bush envisions using all options, however, we cannot deny the possibility that the United States may take military actions. | cannot deny the possibility that the United States may take military actions",negative
"sentiment | To tighten the noose around the ""axis of evil, ""the Japanese Government will seek understanding and cooperation from European countries that are critical of the President. | are critical of",negative
"arguing | As this indicates, discussion on the ""axis of evil ""was the main purpose of the President's visit to Japan. | As this indicates, discussion on the ""axis of evil ""was the main purpose of the President's visit to Japan",positive
"sentiment | To tighten the noose around the ""axis of evil, ""the Japanese Government will seek understanding and cooperation from European countries that are critical of the President. | To tighten the noose around",negative
"intention | Regarding the ""axis of evil, ""the prime minister explained his resolve to buckle down on the issue, while continuously cooperating with the United States. | resolve to",positive
"sentiment | Ever since the President announced the ""axis of evil ""statement in January, Iran, Iraq, North Korea have been trying hard, out of the fear of possible confrontation with the United States, to deny their involvement in terrorism or proliferation of mass destruction weapons. | fear of",negative
"arguing | Therefore, the Japanese Government will be forced to introduce diverse legislation for the purpose of giving cooperation for US military actions. | will be forced to introduce diverse legislation for the purpose of giving cooperation for US military actions",positive
"intention | At the same time, Japan also plans to ""work on Iran and North Korea through Japan's own diplomatic channels for settlement of the issue, ""(according to a government source). | plans to",positive
"arguing | However, Koizumi said, ""I take the remark as the indication of the President's strong resolve to fight terrorism."" | take the remark as the indication of the President's strong resolve to fight terrorism",positive
"agreement | If Japan does not give any support to possible US attacks on Iraq despite its understanding of the axis of evil rhetoric, Bush's expectations on the Koizumi administration will certainly change to disappointment. | understanding of",positive
"sentiment | It is possible that if the US military attack Iraq, Japan, which has shown understanding of the axis of evil remark, will be asked to provide active support to the US as it did during US attacks on Afghanistan. | the axis of evil remark",negative
"intention | In reply, the President said, ""We want to resolve all issues peacefully, and we intend to continue diplomatic efforts.""However, it is unclear whether Japan can actually prevent the US from taking military action. | intend to",positive
"sentiment | ""It is also politically very difficult ""to enact a new law considering the declining support for the Koizumi Cabinet, said a source within the Prime Minister's Official Residence. | the declining support for",negative
"sentiment | If Japan does not give any support to possible US attacks on Iraq despite its understanding of the axis of evil rhetoric, Bush's expectations on the Koizumi administration will certainly change to disappointment. | disappointment",negative
"sentiment | In reply, the President said, ""We want to resolve all issues peacefully, and we intend to continue diplomatic efforts.""However, it is unclear whether Japan can actually prevent the US from taking military action. | want to",positive
"sentiment | At a Japan-US summit meeting on 18 February, Prime Minister Junichiro Koizumi expressed some understanding of US President George W. Bush's remarks that Iran, Iraq, and the DPRK (North Korea) are an ""axis of evil."" | are an ""axis of evil",negative
"arguing | He urged Japan to follow the US by saying: ""The international community needs to cooperate to change Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction). | needs to cooperate to change Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction)",positive
"sentiment | Although the Japanese Government has expressed understanding of Bush's axis of evil remark, it does not hope to see the US taking military action. | does not hope to",negative
"sentiment | European countries are critical of Bush's ""axis of evil ""remark. | are critical of",negative
"arguing | Because of this, Koizumi noted the need for the international community to cooperate in tackling Iraqi issues and enthusiastically asked Bush to not take the bold course of launching military action. | noted the need for the international community to cooperate in tackling Iraqi issues",positive
"arguing | However, it will be difficult for Japan to provide support to the US, as it did when the US attacked Afghanistan, if US forces launch military action against Iraq. | it will be difficult for Japan to provide support to the US, as it did when the US attacked Afghanistan, if US forces launch military action against Iraq",positive
"sentiment | It is possible that if the US military attack Iraq, Japan, which has shown understanding of the axis of evil remark, will be asked to provide active support to the US as it did during US attacks on Afghanistan. | will be asked to",positive
"agreement | Although the Japanese Government has expressed understanding of Bush's axis of evil remark, it does not hope to see the US taking military action. | expressed understanding of",positive
"agreement | It is possible that if the US military attack Iraq, Japan, which has shown understanding of the axis of evil remark, will be asked to provide active support to the US as it did during US attacks on Afghanistan. | shown understanding of",positive
"sentiment | Because of this, Koizumi noted the need for the international community to cooperate in tackling Iraqi issues and enthusiastically asked Bush to not take the bold course of launching military action. | enthusiastically asked Bush to not",negative
"agreement | At a Japan-US summit meeting on 18 February, Prime Minister Junichiro Koizumi expressed some understanding of US President George W. Bush's remarks that Iran, Iraq, and the DPRK (North Korea) are an ""axis of evil."" | expressed some understanding of",positive
"arguing | This left the impression that Japan stands alone on this issue because European countries have been cool to Bush's ""axis of evil ""rhetoric. | stands alone on this issue because European countries have been cool to Bush's ""axis of evil ""rhetoric",positive
"sentiment | Because of this, Koizumi noted the need for the international community to cooperate in tackling Iraqi issues and enthusiastically asked Bush to not take the bold course of launching military action. | enthusiastically asked",positive
arguing | It can be said that the Japanese Government has put itself in a difficult position. | It can be said that the Japanese Government has put itself in a difficult position,positive
"sentiment | He urged Japan to follow the US by saying: ""The international community needs to cooperate to change Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction). | Iran, Iraq, and North Korea's action pattern (of spreading weapons of mass destruction)",negative
"sentiment | North Korea remains unconvinced, calling Bush the head of ""an empire of evil.""Its state media said last week that Bush ""is the most bellicose and heinous ""US president, and added his visit was only intended to ""fan up war hysteria "". | calling Bush the head of ""an empire of evil",negative
"arguing | They are the ones attacking Iraq, not the other way round, ""said Ath-Thawra, mouthpiece of the ruling Baath party in Baghdad. | are the ones attacking Iraq",positive
"sentiment | ""People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations, ""Bush said. | willing to starve their people",negative
"sentiment | TOKYO, Feb 18 (AFP) -- US President George W. Bush said Monday that all options were on the table to deal with Iraq, Iran and North Korea, even as Germany warned against any ""adventure ""in Iraq. | warned against",negative
sentiment | South Korean ministers fear Bush's tough talking may put back by years Kim's so-called Sunshine Policy of establishing a permanent peace. | fear Bush's tough talking may put back by years Kim's so-called Sunshine Policy of establishing a permanent peace,negative
"sentiment | Washington has long accused Baghdad, under UN sanctions since its 1990 invasion of Kuwait, of developing weapons of mass destruction. | has long accused Baghdad, under UN sanctions since its 1990 invasion of Kuwait, of developing weapons of mass destruction",negative
"sentiment | ""They are seeking unilaterally to become the masters of the world and want to sweep aside all competitors from other countries."" | want to sweep aside",negative
"sentiment | Washington alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran, which Iranian officials have hotly denied but said they would act if provided with evidence. | alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran",negative
"sentiment | During the three-hour occupation, protesters hurled leaflets proclaiming Bush to be a ""war freak "". | proclaiming Bush to be a ""war freak",negative
"sentiment | ""We also hope that Iraq gives a favourable response and allows UN weapon inspectors ""to return to the country, he added. | hope",positive
sentiment | Angry anti-US protests erupted in Seoul ahead of Bush's arrival with police storming the American Chamber of Commerce and detaining 32 students occupying the building. | Angry anti-US protests erupted,negative
arguing | He had also insisted on the right of the allies to be informed and consulted about US plans. | had also insisted on the right of the allies to be informed and consulted about US plans,positive
"arguing | Even though US officials have stressed that no firm military plans exist for expanding the war on terror launched after the September 11 attacks, they said late Sunday that Iraqi President Saddam Hussein should go. | have stressed that no firm military plans exist for expanding the war on terror",negative
"sentiment | The United States maintains some 37,000 troops on the Korean peninsula, and Bush has called the de-militarised zone dividing South Korea from its hardline communist northern neighbour ""one of the most dangerous places on earth "". | has called the de-militarised zone dividing South Korea from its hardline communist northern neighbour ""one of the most dangerous places on earth",negative
"sentiment | ""People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations, ""Bush said. | People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations",negative
"sentiment | North Korea remains unconvinced, calling Bush the head of ""an empire of evil.""Its state media said last week that Bush ""is the most bellicose and heinous ""US president, and added his visit was only intended to ""fan up war hysteria "". | an empire of evil",negative
"arguing | Washington alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran, which Iranian officials have hotly denied but said they would act if provided with evidence. | alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran",positive
"sentiment | North Korea remains unconvinced, calling Bush the head of ""an empire of evil.""Its state media said last week that Bush ""is the most bellicose and heinous ""US president, and added his visit was only intended to ""fan up war hysteria "". | his visit was only intended to ""fan up war hysteria",negative
"arguing | ""People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations, ""Bush said. | understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations",negative
"arguing | They are the ones attacking Iraq, not the other way round, ""said Ath-Thawra, mouthpiece of the ruling Baath party in Baghdad. | not the other way round",negative
"arguing | ""We've made no secret of the fact that we think that the world will be much safer when the Iraqi people have a regime that they deserve instead of the regime that they have, ""National Security Adviser Condoleezza Rice told CBS television. | think that the world will be much safer when the Iraqi people have a regime that they deserve instead of the regime that they have",positive
"sentiment | ""We want to resolve all issues peacefully, whether it be Iraq, Iran or North Korea, ""Bush said, speaking next to Japanese Prime Minister Junichiro Koizumi. | want to",positive
"sentiment | A diplomatic source said the affair could become ""embarrassing ""for European countries, ""because of the insistence of the Americans on judging for themselves ""those who supported al-Qaeda. | the affair could become ""embarrassing ""for European countries, ""because of the insistence of the Americans on judging for themselves ""those who supported al-Qaeda",negative
"sentiment | The president renewed his pledge to thwart terrorist groups who want to ""mate up ""with regimes hoping to acquire weapons of mass destruction and said ""nations will come with us ""if the US-led war on terrorism is extended. | want to ""mate up ""with regimes hoping to acquire weapons of mass destruction",negative
